#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-10-25T15:21:36 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ562cf2e93c78	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/AJ/147/136/table12
#-nav=cat:J/AJ/147/136&tab:{J/AJ/147/136/table12}&key:source=J/AJ/147/136/table12&HTTPPRM:&&-ref=VIZ562cf2e93c78&-out.max=unlimited&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-order=I&-out=Ion&-ignore=A=*&A=A&-out=Nl&-out=l_log(e)&-out=log(e)&-out=[X/Fe]&-out=s_[X/Fe]&-out=e_[X/Fe]&-out=e2_[X/Fe]&-out=e3_[X/Fe]&-out=Name&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/AJ/147/136/table12
#-source=J/AJ/147/136/table12
#-order=I
#-out=Ion
#-out=Nl
#-out=l_log(e)
#-out=log(e)
#-out=[X/Fe]
#-out=s_[X/Fe]
#-out=e_[X/Fe]
#-out=e2_[X/Fe]
#-out=e3_[X/Fe]
#-out=Name
#

#RESOURCE=yCat_51470136
#Name: J/AJ/147/136
#Title: Stars of very low metal abundance. VI. Abundances (Roederer+, 2014)
#Table	J_AJ_147_136_table12:
#Name: J/AJ/147/136/table12
#Title: Mean abundances
#Column	Ion	(A6)	Species identifier	[ucd=phys.atmol.ionStage]
#Column	Nl	(I3)	Number of lines used	[ucd=meta.number]
#Column	l_log(e)	(A1)	Limit flag on log(e)	[ucd=meta.code.error;phys.abund;arith.zp]
#Column	log(e)	(F5.2)	? Log mean abundance (log{epsilon})	[ucd=phys.abund;arith.zp]
#Column	[X/Fe]	(F5.2)	? Abundance relative to FeI and FeII	[ucd=phys.abund]
#Column	s_[X/Fe]	(F5.2)	? Statistical uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	e_[X/Fe]	(F5.2)	? Total uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	e2_[X/Fe]	(F5.2)	? Neutrals uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	e3_[X/Fe]	(F5.2)	? Ions uncertainty in [X/Fe]	[ucd=stat.error;phys.abund]
#Column	Name	(A12)	Star identifier	[ucd=meta.id;meta.main]
Ion|Nl|l_log(e)|log(e)|[X/Fe]|s_[X/Fe]|e_[X/Fe]|e2_[X/Fe]|e3_[X/Fe]|Name
Yb II |  1|<|-1.41| 0.58|     |     |     |     |CS 22888-002
Hf II |  2|<| 0.40| 2.46|     |     |     |     |CS 22888-002
Pb I  |  1|<| 1.60| 2.49|     |     |     |     |CS 22888-002
Th II |  3|<|-0.68| 2.17|     |     |     |     |CS 22888-002
Fe I  | 84| | 4.77|-2.73| 0.07| 0.21| 0.00| 0.00|CS 22888-014
Fe II |  6| | 4.81|-2.69| 0.08| 0.15| 0.00| 0.00|CS 22888-014
Li I  |  1| | 2.11|     | 0.06| 0.20| 0.09| 0.21|CS 22888-014
C (CH)|  1|<| 6.40| 0.67|     |     |     |     |CS 22888-014
N (NH)|  1|<| 7.20| 2.07|     |     |     |     |CS 22888-014
O I   |  3| | 6.19| 0.23| 0.12| 0.23| 0.14| 0.23|CS 22888-014
Mg I  |  7| | 5.30| 0.43| 0.05| 0.22| 0.09| 0.21|CS 22888-014
Al I  |  2| | 3.02|-0.70| 0.09| 0.29| 0.18| 0.29|CS 22888-014
Si I  |  1| | 5.27| 0.49| 0.16| 0.36| 0.24| 0.32|CS 22888-014
Ca I  | 11| | 4.06| 0.46| 0.11| 0.22| 0.13| 0.23|CS 22888-014
Sc II |  4| | 0.47| 0.02| 0.08| 0.15| 0.21| 0.12|CS 22888-014
Ti I  |  3| | 2.63| 0.42| 0.07| 0.20| 0.10| 0.21|CS 22888-014
Ti II | 16| | 2.52| 0.26| 0.07| 0.14| 0.20| 0.11|CS 22888-014
V II  |  1| | 1.61| 0.37| 0.25| 0.28| 0.32| 0.26|CS 22888-014
Cr I  |  4| | 2.66|-0.25| 0.05| 0.21| 0.09| 0.21|CS 22888-014
Cr II |  1| | 3.24| 0.29| 0.10| 0.16| 0.22| 0.12|CS 22888-014
Mn I  |  4| | 2.23|-0.47| 0.11| 0.22| 0.13| 0.23|CS 22888-014
Mn II |  3| | 2.25|-0.48| 0.15| 0.21| 0.25| 0.19|CS 22888-014
Co I  |  2| | 2.25|-0.01| 0.15| 0.24| 0.17| 0.25|CS 22888-014
Ni I  |  6| | 3.42|-0.07| 0.14| 0.25| 0.16| 0.26|CS 22888-014
Zn I  |  2|<| 2.44| 0.61|     |     |     |     |CS 22888-014
Rb I  |  1|<| 2.56| 2.77|     |     |     |     |CS 22888-014
Sr II |  2| | 0.19| 0.01| 0.04| 0.22| 0.24| 0.21|CS 22888-014
Y II  |  1| |-0.39| 0.09| 0.17| 0.21| 0.26| 0.19|CS 22888-014
Zr II |  1| | 0.21| 0.32| 0.16| 0.20| 0.25| 0.17|CS 22888-014
Nb II |  1|<| 1.43| 2.66|     |     |     |     |CS 22888-014
Mo I  |  1|<| 1.40| 2.25|     |     |     |     |CS 22888-014
Tc I  |  1|<| 1.61|     |     |     |     |     |CS 22888-014
Ba II |  2| |-0.82|-0.30| 0.09| 0.15| 0.22| 0.12|CS 22888-014
Ce II |  5|<| 0.19| 1.30|     |     |     |     |CS 22888-014
Pr II |  4|<| 0.02| 1.99|     |     |     |     |CS 22888-014
Nd II |  5|<| 0.34| 1.61|     |     |     |     |CS 22888-014
Sm II |  2|<|-0.10| 1.63|     |     |     |     |CS 22888-014
Eu II |  4|<|-1.20| 0.97|     |     |     |     |CS 22888-014
Gd II |  3|<| 0.24| 1.86|     |     |     |     |CS 22888-014
Tb II |  3|<|-0.39| 2.00|     |     |     |     |CS 22888-014
Dy II |  3|<|-0.14| 1.45|     |     |     |     |CS 22888-014
Ho II |  1|<|-0.47| 1.74|     |     |     |     |CS 22888-014
Er II |  3|<|-0.15| 1.62|     |     |     |     |CS 22888-014
Tm II |  2|<|-0.56| 2.03|     |     |     |     |CS 22888-014
Yb II |  1| |-1.19| 0.58| 0.21| 0.24| 0.29| 0.22|CS 22888-014
Hf II |  2|<| 0.67| 2.51|     |     |     |     |CS 22888-014
Ir I  |  1|<| 1.61| 2.96|     |     |     |     |CS 22888-014
Pb I  |  1|<| 1.73| 2.42|     |     |     |     |CS 22888-014
Th II |  3|<|-0.15| 2.48|     |     |     |     |CS 22888-014
Fe I  | 48| | 3.79|-3.71| 0.08| 0.22| 0.00| 0.00|CS 22888-031
Fe II |  1| | 4.09|-3.41| 0.14| 0.19| 0.00| 0.00|CS 22888-031
Li I  |  1| | 1.73|     | 0.07| 0.20| 0.11| 0.24|CS 22888-031
C (CH)|  1| | 5.64| 0.62| 0.15| 0.25| 0.20| 0.23|CS 22888-031
N (CN)|  1|<| 7.80| 3.38|     |     |     |     |CS 22888-031
O I   |  3|<| 6.16| 1.18|     |     |     |     |CS 22888-031
Mg I  |  3| | 4.38| 0.48| 0.09| 0.24| 0.12| 0.26|CS 22888-031
Al I  |  2| | 2.15|-0.59| 0.10| 0.21| 0.13| 0.25|CS 22888-031
Si I  |  1| | 4.25| 0.45| 0.16| 0.33| 0.23| 0.35|CS 22888-031
Ca I  |  5| | 3.06| 0.43| 0.15| 0.24| 0.17| 0.28|CS 22888-031
Sc II |  2| |-0.63|-0.37| 0.11| 0.17| 0.24| 0.18|CS 22888-031
Ti II | 10| | 1.31|-0.23| 0.09| 0.16| 0.22| 0.18|CS 22888-031
V II  |  2|<| 1.54| 1.02|     |     |     |     |CS 22888-031
Cr I  |  3| | 1.69|-0.25| 0.07| 0.20| 0.12| 0.24|CS 22888-031
Mn II |  1|<| 1.81|-0.21|     |     |     |     |CS 22888-031
Co I  |  2| | 1.67| 0.39| 0.22| 0.29| 0.24| 0.32|CS 22888-031
Ni I  |  6| | 2.72| 0.21| 0.18| 0.28| 0.20| 0.31|CS 22888-031
Zn I  |  2|<| 2.28| 1.43|     |     |     |     |CS 22888-031
Ga I  |  1|<| 1.32| 1.99|     |     |     |     |CS 22888-031
Rb I  |  1|<| 2.64| 3.83|     |     |     |     |CS 22888-031
Sr II |  2| |-1.15|-0.61| 0.05| 0.14| 0.21| 0.15|CS 22888-031
Y II  |  7|<|-0.87| 0.33|     |     |     |     |CS 22888-031
Zr II |  2|<| 0.58| 1.41|     |     |     |     |CS 22888-031
Nb II |  1|<| 1.29| 3.24|     |     |     |     |CS 22888-031
Mo I  |  1|<| 0.98| 2.81|     |     |     |     |CS 22888-031
Tc I  |  1|<| 1.28|     |     |     |     |     |CS 22888-031
Ba II |  4|<|-1.94|-0.71|     |     |     |     |CS 22888-031
La II |  4|<|-0.78| 1.53|     |     |     |     |CS 22888-031
Ce II |  5|<|-0.14| 1.69|     |     |     |     |CS 22888-031
Pr II |  4|<|-0.54| 2.15|     |     |     |     |CS 22888-031
Nd II |  5|<|-0.33| 1.66|     |     |     |     |CS 22888-031
Sm II |  2|<|-0.21| 2.24|     |     |     |     |CS 22888-031
Eu II |  4|<|-1.40| 1.49|     |     |     |     |CS 22888-031
Gd II |  3|<| 0.07| 2.41|     |     |     |     |CS 22888-031
Tb II |  3|<|-0.37| 2.74|     |     |     |     |CS 22888-031
Dy II |  3|<|-0.54| 1.77|     |     |     |     |CS 22888-031
Ho II |  2|<|-0.67| 2.26|     |     |     |     |CS 22888-031
Er II |  2|<|-0.25| 2.24|     |     |     |     |CS 22888-031
Tm II |  2|<|-0.65| 2.66|     |     |     |     |CS 22888-031
Yb II |  1|<|-1.32| 1.17|     |     |     |     |CS 22888-031
Hf II |  1|<| 0.41| 2.97|     |     |     |     |CS 22888-031
Pb I  |  1|<| 1.57| 3.24|     |     |     |     |CS 22888-031
Th II |  3|<|-0.55| 2.80|     |     |     |     |CS 22888-031
Fe I  | 77| | 4.96|-2.54| 0.06| 0.17| 0.00| 0.00|CS 22888-047
Fe II | 10| | 4.96|-2.54| 0.06| 0.15| 0.00| 0.00|CS 22888-047
Li I  |  1|<| 1.53|     |     |     |     |     |CS 22888-047
C (CH)|  1|<| 6.80| 0.90|     |     |     |     |CS 22888-047
N (NH)|  1|<| 7.50| 2.20|     |     |     |     |CS 22888-047
Mg I  |  7| | 5.30| 0.24| 0.05| 0.17| 0.08| 0.19|CS 22888-047
Al I  |  2| | 3.10|-0.81| 0.09| 0.21| 0.14| 0.23|CS 22888-047
Si I  |  1| | 5.12| 0.15| 0.16| 0.31| 0.26| 0.33|CS 22888-047
Ca I  | 13| | 4.18| 0.39| 0.11| 0.19| 0.12| 0.21|CS 22888-047
Sc II |  4| | 0.64| 0.03| 0.05| 0.15| 0.19| 0.08|CS 22888-047
Ti I  |  5| | 2.76| 0.35| 0.07| 0.17| 0.09| 0.19|CS 22888-047
Ti II | 20| | 2.60| 0.19| 0.05| 0.15| 0.19| 0.08|CS 22888-047
V II  |  2| | 1.56| 0.17| 0.20| 0.24| 0.27| 0.21|CS 22888-047
Cr I  |  5| | 3.05|-0.05| 0.08| 0.18| 0.09| 0.20|CS 22888-047
Cr II |  2| | 3.34| 0.24| 0.05| 0.15| 0.19| 0.08|CS 22888-047
Mn I  |  3| | 2.64|-0.25| 0.05| 0.17| 0.08| 0.19|CS 22888-047
Mn II |  2| | 2.58|-0.31| 0.16| 0.21| 0.24| 0.17|CS 22888-047
Co I  |  1| | 2.57| 0.12| 0.12| 0.20| 0.13| 0.22|CS 22888-047
Ni I  |  1| | 3.69| 0.01| 0.11| 0.19| 0.12| 0.21|CS 22888-047
Zn I  |  2| | 2.31| 0.29| 0.10| 0.18| 0.11| 0.21|CS 22888-047
Sr II |  2| | 0.93| 0.60| 0.02| 0.22| 0.19| 0.17|CS 22888-047
Y II  |  3| |-0.39|-0.06| 0.11| 0.18| 0.21| 0.13|CS 22888-047
Zr II |  3| | 0.57| 0.53| 0.07| 0.16| 0.20| 0.09|CS 22888-047
Nb II |  1|<| 1.06| 2.14|     |     |     |     |CS 22888-047
Mo I  |  1|<| 1.35| 2.01|     |     |     |     |CS 22888-047
Tc I  |  1|<| 1.51|     |     |     |     |     |CS 22888-047
Ba II |  2| |-0.32| 0.04| 0.05| 0.16| 0.19| 0.09|CS 22888-047
La II |  4| |-0.89| 0.54| 0.13| 0.19| 0.23| 0.15|CS 22888-047
Ce II |  5|<|-0.46| 0.50|     |     |     |     |CS 22888-047
Pr II |  1| |-0.75| 1.07| 0.08| 0.16| 0.20| 0.11|CS 22888-047
Nd II |  1| |-0.55| 0.57| 0.11| 0.18| 0.22| 0.13|CS 22888-047
Sm II |  1| |-0.60| 0.98| 0.12| 0.19| 0.22| 0.14|CS 22888-047
Eu II |  4| |-1.16| 0.86| 0.08| 0.16| 0.20| 0.10|CS 22888-047
Gd II |  2| |-0.36| 1.10| 0.10| 0.17| 0.21| 0.11|CS 22888-047
Tb II |  3|<|-0.51| 1.73|     |     |     |     |CS 22888-047
Dy II |  1| |-0.40| 1.04| 0.08| 0.16| 0.20| 0.10|CS 22888-047
Er II |  1| |-0.57| 1.05| 0.17| 0.22| 0.25| 0.18|CS 22888-047
Tm II |  2|<|-0.82| 1.62|     |     |     |     |CS 22888-047
Yb II |  1| |-0.95| 0.67| 0.11| 0.18| 0.22| 0.13|CS 22888-047
Hf II |  2|<| 0.14| 1.83|     |     |     |     |CS 22888-047
Pb I  |  1|<| 1.94| 2.44|     |     |     |     |CS 22888-047
Th II |  2|<|-0.60| 1.88|     |     |     |     |CS 22888-047
Fe I  | 56| | 4.41|-3.09| 0.07| 0.22| 0.00| 0.00|CS 22889-050
Fe II |  4| | 4.66|-2.84| 0.08| 0.15| 0.00| 0.00|CS 22889-050
Li I  |  1| | 1.70|     | 0.07| 0.20| 0.11| 0.21|CS 22889-050
C (CH)|  1|<| 6.10| 0.52|     |     |     |     |CS 22889-050
N (CN)|  1|<| 8.20| 3.22|     |     |     |     |CS 22889-050
Mg I  |  5| | 5.01| 0.51| 0.06| 0.21| 0.09| 0.21|CS 22889-050
Al I  |  2| | 2.74|-0.62| 0.09| 0.26| 0.14| 0.26|CS 22889-050
Si I  |  1| | 4.73| 0.31| 0.16| 0.36| 0.24| 0.33|CS 22889-050
Ca I  |  6| | 3.88| 0.63| 0.11| 0.22| 0.13| 0.23|CS 22889-050
Sc II |  3| | 0.37| 0.06| 0.07| 0.14| 0.21| 0.11|CS 22889-050
Ti I  |  3| | 2.49| 0.63| 0.10| 0.22| 0.13| 0.22|CS 22889-050
Ti II | 12| | 2.28| 0.16| 0.05| 0.14| 0.20| 0.10|CS 22889-050
V II  |  2|<| 1.67| 0.58|     |     |     |     |CS 22889-050
Cr I  |  2| | 2.28|-0.27| 0.04| 0.20| 0.09| 0.20|CS 22889-050
Mn I  |  2| | 1.96|-0.38| 0.08| 0.20| 0.11| 0.21|CS 22889-050
Mn II |  3| | 2.08|-0.51| 0.16| 0.21| 0.25| 0.19|CS 22889-050
Co I  |  1| | 1.91| 0.01| 0.18| 0.26| 0.19| 0.27|CS 22889-050
Ni I  |  3| | 3.17| 0.05| 0.13| 0.23| 0.15| 0.24|CS 22889-050
Zn I  |  2|<| 2.38| 0.91|     |     |     |     |CS 22889-050
Sr II |  2| |-0.28|-0.31| 0.04| 0.19| 0.21| 0.17|CS 22889-050
Y II  |  1| |-0.93|-0.30| 0.22| 0.25| 0.30| 0.23|CS 22889-050
Nb II |  1|<| 1.40| 2.78|     |     |     |     |CS 22889-050
Mo I  |  1|<| 1.10| 2.31|     |     |     |     |CS 22889-050
Ba II |  1| |-1.23|-0.57| 0.06| 0.14| 0.21| 0.10|CS 22889-050
Ce II |  5|<|-0.11| 1.15|     |     |     |     |CS 22889-050
Pr II |  5|<|-0.38| 1.74|     |     |     |     |CS 22889-050
Nd II |  5|<|-0.08| 1.34|     |     |     |     |CS 22889-050
Sm II |  2|<|-0.09| 1.79|     |     |     |     |CS 22889-050
Eu II |  4|<|-1.35| 0.97|     |     |     |     |CS 22889-050
Gd II |  3|<| 0.26| 2.03|     |     |     |     |CS 22889-050
Tb II |  3|<|-0.33| 2.21|     |     |     |     |CS 22889-050
Dy II |  2|<|-0.32| 1.42|     |     |     |     |CS 22889-050
Ho II |  2|<|-0.59| 1.77|     |     |     |     |CS 22889-050
Er II |  1|<|-0.17| 1.75|     |     |     |     |CS 22889-050
Tm II |  2|<|-0.77| 1.97|     |     |     |     |CS 22889-050
Yb II |  1|<|-1.06| 0.86|     |     |     |     |CS 22889-050
Hf II |  1|<| 0.48| 2.47|     |     |     |     |CS 22889-050
Pb I  |  1|<| 1.45| 2.50|     |     |     |     |CS 22889-050
Th II |  2|<|-0.37| 2.41|     |     |     |     |CS 22889-050
Fe I  |100| | 4.82|-2.68| 0.07| 0.21| 0.00| 0.00|CS 22890-011
Fe II |  7| | 5.03|-2.47| 0.08| 0.15| 0.00| 0.00|CS 22890-011
Li I  |  1| | 2.19|     | 0.06| 0.20| 0.10| 0.21|CS 22890-011
C (CH)|  1|<| 6.20| 0.25|     |     |     |     |CS 22890-011
N (CN)|  1|<| 7.95| 2.60|     |     |     |     |CS 22890-011
O I   |  1| | 6.59| 0.58| 0.06| 0.20| 0.10| 0.21|CS 22890-011
Mg I  |  6| | 5.17| 0.25| 0.06| 0.21| 0.09| 0.21|CS 22890-011
Al I  |  2| | 2.91|-0.86| 0.09| 0.26| 0.15| 0.26|CS 22890-011
Si I  |  1| | 5.15| 0.32| 0.16| 0.36| 0.24| 0.32|CS 22890-011
Ca I  | 14| | 4.12| 0.46| 0.11| 0.22| 0.13| 0.23|CS 22890-011
Sc II |  3| | 0.64|-0.05| 0.07| 0.14| 0.21| 0.10|CS 22890-011
Ti I  |  5| | 2.62| 0.36| 0.09| 0.21| 0.12| 0.22|CS 22890-011
Ti II | 18| | 2.76| 0.27| 0.07| 0.14| 0.20| 0.11|CS 22890-011
V II  |  2|<| 1.66| 0.20|     |     |     |     |CS 22890-011
Cr I  |  4| | 2.84|-0.11| 0.06| 0.20| 0.10| 0.21|CS 22890-011
Cr II |  1| | 3.20| 0.03| 0.10| 0.16| 0.23| 0.13|CS 22890-011
Mn I  |  3| | 2.28|-0.47| 0.06| 0.20| 0.10| 0.21|CS 22890-011
Mn II |  2| | 2.41|-0.55| 0.16| 0.20| 0.25| 0.18|CS 22890-011
Co I  |  3| | 2.28|-0.03| 0.14| 0.24| 0.16| 0.24|CS 22890-011
Ni I  |  4| | 3.43|-0.10| 0.13| 0.24| 0.15| 0.25|CS 22890-011
Zn I  |  2|<| 2.58| 0.70|     |     |     |     |CS 22890-011
Rb I  |  1|<| 2.80| 2.96|     |     |     |     |CS 22890-011
Sr II |  2| | 0.58| 0.18| 0.04| 0.24| 0.25| 0.24|CS 22890-011
Y II  |  1| |-0.47|-0.21| 0.13| 0.18| 0.24| 0.15|CS 22890-011
Zr II |  1| | 0.35| 0.24| 0.11| 0.17| 0.23| 0.13|CS 22890-011
Nb II |  1|<| 1.67| 2.68|     |     |     |     |CS 22890-011
Mo I  |  1|<| 1.20| 2.00|     |     |     |     |CS 22890-011
Tc I  |  1|<| 1.41|     |     |     |     |     |CS 22890-011
Ba II |  2| |-0.61|-0.32| 0.07| 0.15| 0.21| 0.11|CS 22890-011
Ce II |  5|<| 0.14| 1.03|     |     |     |     |CS 22890-011
Pr II |  5|<|-0.16| 1.59|     |     |     |     |CS 22890-011
Nd II |  5|<|-0.02| 1.03|     |     |     |     |CS 22890-011
Sm II |  2|<|-0.13| 1.38|     |     |     |     |CS 22890-011
Eu II |  4|<|-1.13| 0.82|     |     |     |     |CS 22890-011
Gd II |  3|<| 0.41| 1.81|     |     |     |     |CS 22890-011
Tb II |  4|<|-0.13| 2.04|     |     |     |     |CS 22890-011
Dy II |  3|<|-0.16| 1.21|     |     |     |     |CS 22890-011
Er II |  3|<| 0.04| 1.59|     |     |     |     |CS 22890-011
Tm II |  2|<|-0.46| 1.91|     |     |     |     |CS 22890-011
Yb II |  1|<|-0.78| 0.77|     |     |     |     |CS 22890-011
Hf II |  1|<| 0.68| 2.30|     |     |     |     |CS 22890-011
Pb I  |  1|<| 1.75| 2.39|     |     |     |     |CS 22890-011
Th II |  2|<|-0.10| 2.31|     |     |     |     |CS 22890-011
Fe I  |106| | 4.73|-2.77| 0.06| 0.14| 0.00| 0.00|CS 22890-024
Fe II |  9| | 4.92|-2.58| 0.07| 0.15| 0.00| 0.00|CS 22890-024
Li I  |  1|<| 0.92|     |     |     |     |     |CS 22890-024
C (CH)|  1| | 5.97| 0.13| 0.15| 0.25| 0.19| 0.19|CS 22890-024
N (NH)|  1| | 5.44| 0.20| 0.30| 0.36| 0.32| 0.32|CS 22890-024
O I   |  1| | 7.05| 1.13| 0.06| 0.15| 0.09| 0.18|CS 22890-024
Mg I  |  7| | 5.13| 0.30| 0.05| 0.15| 0.08| 0.18|CS 22890-024
Al I  |  1| | 2.89|-0.79| 0.09| 0.28| 0.22| 0.29|CS 22890-024
Ca I  | 13| | 3.93| 0.35| 0.11| 0.17| 0.12| 0.20|CS 22890-024
Sc II |  7| | 0.46|-0.11| 0.07| 0.16| 0.18| 0.11|CS 22890-024
Ti I  | 14| | 2.42| 0.24| 0.07| 0.15| 0.09| 0.18|CS 22890-024
Ti II | 28| | 2.55| 0.19| 0.06| 0.15| 0.17| 0.10|CS 22890-024
V I   |  1| | 1.05|-0.11| 0.15| 0.20| 0.16| 0.23|CS 22890-024
V II  |  2| | 1.44| 0.10| 0.21| 0.26| 0.27| 0.22|CS 22890-024
Cr I  |  8| | 2.70|-0.17| 0.07| 0.15| 0.09| 0.18|CS 22890-024
Cr II |  2| | 3.19| 0.14| 0.09| 0.17| 0.19| 0.11|CS 22890-024
Mn I  |  5| | 2.31|-0.36| 0.08| 0.16| 0.10| 0.19|CS 22890-024
Mn II |  1| | 2.21|-0.64| 0.16| 0.21| 0.23| 0.17|CS 22890-024
Co I  | 10| | 2.24| 0.02| 0.14| 0.20| 0.16| 0.23|CS 22890-024
Ni I  | 10| | 3.55| 0.10| 0.13| 0.22| 0.17| 0.24|CS 22890-024
Zn I  |  2| | 2.14| 0.35| 0.09| 0.16| 0.11| 0.19|CS 22890-024
Rb I  |  1|<| 2.28| 2.53|     |     |     |     |CS 22890-024
Sr II |  2| | 0.34| 0.06| 0.04| 0.25| 0.25| 0.25|CS 22890-024
Y II  |  4| |-0.71|-0.33| 0.13| 0.19| 0.21| 0.15|CS 22890-024
Zr II |  3| | 0.16| 0.16| 0.11| 0.18| 0.20| 0.13|CS 22890-024
Nb II |  1|<| 0.99| 2.11|     |     |     |     |CS 22890-024
Mo I  |  1|<| 0.33| 1.22|     |     |     |     |CS 22890-024
Tc I  |  1|<| 0.74|     |     |     |     |     |CS 22890-024
Ba II |  2| |-0.91|-0.51| 0.05| 0.15| 0.17| 0.09|CS 22890-024
Pr II |  1|<|-1.36| 0.50|     |     |     |     |CS 22890-024
Nd II |  5|<|-0.88| 0.28|     |     |     |     |CS 22890-024
Sm II |  2|<|-0.80| 0.82|     |     |     |     |CS 22890-024
Eu II |  2| |-1.95| 0.11| 0.18| 0.23| 0.25| 0.19|CS 22890-024
Gd II |  2|<|-0.23| 1.28|     |     |     |     |CS 22890-024
Tb II |  3|<|-0.86| 1.42|     |     |     |     |CS 22890-024
Dy II |  1| |-1.16| 0.32| 0.16| 0.21| 0.23| 0.17|CS 22890-024
Er II |  1| |-1.22| 0.44| 0.26| 0.30| 0.31| 0.27|CS 22890-024
Tm II |  2|<|-1.35| 1.13|     |     |     |     |CS 22890-024
Yb II |  1| |-1.64| 0.02| 0.20| 0.24| 0.26| 0.21|CS 22890-024
Hf II |  1|<|-0.03| 1.70|     |     |     |     |CS 22890-024
Pb I  |  1|<| 1.00| 1.73|     |     |     |     |CS 22890-024
Th II |  3|<|-1.13| 1.39|     |     |     |     |CS 22890-024
Fe I  | 64| | 4.38|-3.12| 0.07| 0.21| 0.00| 0.00|CS 22890-064
Fe II |  2| | 4.30|-3.20| 0.08| 0.15| 0.00| 0.00|CS 22890-064
Li I  |  1| | 2.05|     | 0.06| 0.20| 0.10| 0.21|CS 22890-064
C (CH)|  1|<| 6.15| 0.92|     |     |     |     |CS 22890-064
N (NH)|  1|<| 6.30| 1.67|     |     |     |     |CS 22890-064
Mg I  |  7| | 4.90| 0.42| 0.07| 0.22| 0.10| 0.22|CS 22890-064
Al I  |  2| | 2.58|-0.75| 0.09| 0.22| 0.12| 0.23|CS 22890-064
Si I  |  1| | 4.89| 0.50| 0.16| 0.36| 0.24| 0.33|CS 22890-064
Ca I  |  9| | 3.59| 0.37| 0.12| 0.23| 0.14| 0.23|CS 22890-064
Sc II |  2| | 0.02| 0.08| 0.09| 0.15| 0.22| 0.12|CS 22890-064
Ti I  |  3| | 2.73| 0.90| 0.11| 0.22| 0.14| 0.23|CS 22890-064
Ti II | 10| | 2.02| 0.27| 0.06| 0.14| 0.20| 0.10|CS 22890-064
V II  |  2|<| 1.84| 1.11|     |     |     |     |CS 22890-064
Cr I  |  3| | 2.29|-0.23| 0.05| 0.20| 0.09| 0.21|CS 22890-064
Mn I  |  2| | 1.76|-0.55| 0.11| 0.22| 0.13| 0.23|CS 22890-064
Co I  |  1| | 2.06| 0.19| 0.13| 0.23| 0.15| 0.24|CS 22890-064
Ni I  |  2| | 3.15| 0.05| 0.13| 0.23| 0.15| 0.24|CS 22890-064
Zn I  |  2|<| 2.63| 1.19|     |     |     |     |CS 22890-064
Ga I  |  1|<| 1.73| 1.81|     |     |     |     |CS 22890-064
Sr II |  1| |-0.48|-0.15| 0.04| 0.14| 0.20| 0.11|CS 22890-064
Y II  |  4|<| 0.04| 1.03|     |     |     |     |CS 22890-064
Zr II |  3|<| 0.47| 1.09|     |     |     |     |CS 22890-064
Nb II |  1|<| 1.66| 3.40|     |     |     |     |CS 22890-064
Mo I  |  1|<| 1.30| 2.54|     |     |     |     |CS 22890-064
Tc I  |  1|<| 1.50|     |     |     |     |     |CS 22890-064
Ba II |  1| |-1.53|-0.51| 0.09| 0.16| 0.22| 0.12|CS 22890-064
Ce II |  5|<| 0.05| 1.67|     |     |     |     |CS 22890-064
Pr II |  3|<|-0.15| 2.33|     |     |     |     |CS 22890-064
Nd II |  4|<|-0.02| 1.76|     |     |     |     |CS 22890-064
Sm II |  1|<|-0.02| 2.22|     |     |     |     |CS 22890-064
Eu II |  3|<|-1.20| 1.48|     |     |     |     |CS 22890-064
Gd II |  3|<| 0.29| 2.42|     |     |     |     |CS 22890-064
Tb II |  4|<|-0.13| 2.77|     |     |     |     |CS 22890-064
Dy II |  2|<|-0.35| 1.75|     |     |     |     |CS 22890-064
Ho II |  1|<|-0.52| 2.20|     |     |     |     |CS 22890-064
Er II |  1|<|-0.10| 2.18|     |     |     |     |CS 22890-064
Tm II |  1|<| 0.51| 3.61|     |     |     |     |CS 22890-064
Yb II |  1|<|-0.88| 1.40|     |     |     |     |CS 22890-064
Hf II |  2|<| 0.72| 3.07|     |     |     |     |CS 22890-064
Pb I  |  1|<| 1.73| 2.81|     |     |     |     |CS 22890-064
Th II |  2|<|-0.39| 2.75|     |     |     |     |CS 22890-064
Fe I  |105| | 4.82|-2.68| 0.06| 0.17| 0.00| 0.00|CS 22891-184
Fe II | 10| | 4.83|-2.67| 0.06| 0.16| 0.00| 0.00|CS 22891-184
Li I  |  1|<| 0.99|     |     |     |     |     |CS 22891-184
